,Unnamed: 0,Sol,peak_centre,delta_P_obs,p_lor_fit,p_lsr_delta_P,p_lsr_peak_time,p_lsr_fit,pres_rate,delta_V,v_lor_fit,v_lsr_delta_V,v_lsr_peak_time,v_lsr_fit,backg_V,time_FWHM,theta_obs,azimuth,miss_distance,D,delta_P,peak_Bz,mag_rate
0,0,79,79.44156156250001,-0.4886275000000069,0.0048885427579452,-0.4644769794524754,79.44153169045214,0.004014661502715,2.0,7.140119047619047,28.857385364874723,1.2119460442358112,79.44044185612586,18.639754991889035,4.536633333333333,15.08599999983744,4.882451960258318e-09,1.621090237438975,40.64649303408035,,1.1892171185317548,0.1820000000000163,0.2
1,1,79,79.50675277777778,-0.7753248499999472,0.0110700134641757,-0.8074262182441652,79.50675007742642,0.0110090351133258,2.0,5.211166666666667,19.621496483408794,-1.0638551947836217,79.50685035301164,12.613421025255622,3.5802589285714284,6.326000000672138,7.804244634789562e-09,-0.2907041044918594,13.40186914984201,,1.9355746820865989,4.099000000000046,0.2
2,2,79,79.53602269675926,-0.7991189500000928,0.0049323605861165,-0.7632247834796215,79.53600031443558,0.003221848314454,2.0,6.564500000000001,31.753048481858823,-14399154.11775538,813.6102180263656,0.0261139252658639,4.418911904761904,11.679000000185624,1.7813682239947306e-08,2.642741469471114,20.520843146510728,31.289205526709623,-2.1740241371329465,0.2779999999999063,0.2
3,3,79,79.55048587962965,-1.2123214999999163,0.0019357274816364,-1.042616065907786,79.55048535544933,0.0016464911313223,2.0,10.827595238095238,68.54245150718926,-1.539033167778764,79.55078133295726,47.497509444254,6.934904761904763,2.4330000010195363,2.53125773227784e-08,0.0655605946629976,6.932161387477689,9.615922772780236,-3.732510983417193,1.26400000000001,0.2
4,4,79,79.58111317129631,-0.4418818000000328,0.0025929318546032,-0.393975325553643,79.58111831512761,0.0024782181498807,2.0,7.343761904761905,30.52325932219636,-2.057040903116456,79.58198529854495,18.67633491167456,4.55684593837535,3.892999999652602,7.345329978047091e-09,0.9502452956617208,8.168484438840888,6.91404337566787,-2.9089711486021304,1.5670000000000073,0.2
5,5,79,79.58922900462963,-0.9590610499999456,0.002841282402014,-0.8175769234658349,79.58922334843962,0.0021209626598284,2.0,7.011428571428571,,7.011428571428571,79.58922900462963,,4.652098214285714,4.379999999582651,1.6657640392405268e-08,1.033686934361731,9.17877460916812,8.842483407422973,-5.092648680449416,1.0769999999999982,0.2
6,6,79,79.61922555555554,-0.3787011499998698,0.0033706803177576,-0.3484511593930512,79.61927642993857,0.0028160406373102,2.0,7.019309523809524,56.7132337782402,-8185388.928763831,1048.4621543487815,0.0061407662621304,4.7584126984127,55.96099999997932,1.911764982620254e-09,1.3894746875539632,222.4969016777906,,0.2112549652358647,0.252999999999929,0.2
7,7,79,79.6506358101852,-0.8177507999999989,0.0028455504522602,-0.7339560347976483,79.65062223053752,0.0020094462608232,2.0,7.994142857142856,35.11288621091481,2.98455623491837,79.65064876241864,29.38658096017865,5.545561904761906,17.03199999969911,1.1891846610869036e-08,1.5722348219987798,46.498867987731614,16.51070454366482,-26.761606349131306,0.5240000000000009,0.2
0,0,80,80.44651387731483,-0.6194013499999755,0.0044233207241127,-0.6202632684259571,80.44651488561213,0.0044111071828553,2.0,6.550785714285716,,6.550785714285716,80.44651387731483,,4.213902380952382,1.9470000010187505,4.054251185515971e-09,1.1424767310786548,6.020416044749323,,0.5368203254226619,0.34699999999998,0.2
1,1,80,80.54737873842593,-0.548392050000075,0.0133467155178483,-0.5135237852842341,80.54737613915889,0.01325619118863,2.0,6.7631428571428565,,6.7631428571428565,80.54737873842593,,4.678155555555557,1.9469999997909329,1.0828702503363277e-08,1.5375536789843662,3.84807305611378,4.871521160037224,-1.9170930107486523,0.7380000000000564,0.2
2,2,80,80.55152395833333,-0.3514498500001082,0.0071274431446217,-0.3953618981115009,80.55152431549104,0.0070973782957093,2.0,8.500619047619049,42.36404470863668,-1.6139047215038174,80.5516029052827,30.43367659892475,5.497727891156463,3.891999999723339,2.645736330446812e-09,2.181092413576845,14.64063142735612,,0.4027170276264945,0.4900000000000091,0.2
3,3,80,80.59747060185184,-0.3931607499999927,0.0018542745732872,-0.3531681184396421,80.5974691805044,0.0018323682997027,2.0,9.63995238095238,50.83698310960804,-1.191434100320068,80.5976770154373,36.20207282952614,6.019962406015037,1.9469999997909329,1.3510021600227898e-09,2.8425456449801723,11.87031164016601,,0.1267176080982142,0.8809999999999718,0.2
4,4,80,80.61491886574073,-0.366747499999974,0.016841971229504,-0.4193670461230429,80.61490930887008,0.0166288249563436,2.0,7.003380952380951,36.91719010206286,-622.3267658144986,80.64422708604101,0.0112701021942686,4.771388095238096,16.546000000926142,2.2373142226106252e-09,-3.0901433581784548,60.00717567950652,,0.2797567170797272,1.219000000000051,0.2
5,5,80,80.65637679398148,-0.4399139500001183,0.004516164749402,-0.4373576567173348,80.65637159737909,0.0044981635084526,2.0,9.51445238095238,56.01376823996509,-3.841511234897564,80.65738862507393,31.40022870345221,6.33902619047619,17.030999999769847,3.3911561501400033e-09,1.3057104133705464,72.99918352967823,,0.5307723575999056,0.7809999999999491,0.2
6,6,80,80.68600168981482,-0.3764525500000673,0.0108873205328257,-0.1524548996859495,80.68599988815913,0.0105985861467241,2.0,7.457071428571429,,7.457071428571429,80.68600168981482,,4.920961904761905,1.4599999998608837,5.4183764165054306e-09,1.4576429949091427,3.555238405989092,1.029397691508842,-18.33789918453049,1.5389999999999873,0.2
0,0,82,82.40771144675925,-0.3777200000000675,0.0041326942651891,-0.4072831885118433,82.4077066580294,0.0040763460227968,2.0,9.072714285714286,,9.072714285714286,82.40771144675925,,5.95045,4.865999999583437,8.724463887977343e-09,-0.1141870148786726,11.310527637049947,18.07411120032574,-0.9693930702772716,1.5460000000000491,0.2
1,1,82,82.46612163194445,-0.503909550000003,0.0007066607461278,-0.5077903251221045,82.46612284081031,0.000699936717355,2.0,9.295785714285714,,9.295785714285714,82.46612163194445,,6.136492857142857,3.405999999722553,1.1891453836762048e-08,1.605699072878135,8.077352360791163,13.261708538249035,-1.2516513859067402,0.4339999999999691,0.2
2,2,82,82.53461890046296,-0.5952982999999676,0.0021913527075886,-0.5704363154143256,82.53461877429736,0.0021730186343596,2.0,6.347357142857144,,6.347357142857144,82.53461890046296,,4.2474021164021165,7.299000000602973,4.189579012807418e-09,1.4774556677718105,21.93886753371034,,0.5934250528122691,3.1130000000000564,0.2
3,3,82,82.56165292824075,-0.4178513000000521,0.0068860342903192,-0.3559344552264655,82.56169558687678,0.005725662135664,2.0,8.313571428571427,51.61416749016412,-11.29191096287411,82.56272214292477,12.093524691072968,5.509597619047619,27.250000000094587,1.570590447609097e-09,0.8246174345441859,145.38216315658482,,0.1519086249777214,0.6040000000000418,0.2
4,4,82,82.56460414351852,-0.6220228999999335,0.0058792412892462,-0.3635451902952929,82.56460410725147,0.0053548223082624,2.0,7.796999999999999,,7.796999999999999,82.56460414351852,,5.107781954887218,1.9469999997909329,1.0087290389588907e-08,1.3322266186246976,4.636172224187175,3.5949546719749006,-4.760100673853424,0.1539999999999963,0.2
5,5,82,82.60203502314813,-0.3681575500000917,0.0038995506881858,-0.3098614447821557,82.60216897091158,0.0019194110406785,2.0,6.689761904761905,35.5805887293307,3.122642803735269,82.60143420957432,7.924060429699666,4.53851746031746,60.34100000078979,1.689707210554854e-09,0.3457747299002037,239.984379936625,,0.1777115146372815,0.1720000000000254,0.2
6,6,82,82.61117030092592,-1.3147802500000123,0.0693834017893192,-1.112287183642885,82.61108098269845,0.0419898327514999,2.0,7.836357142857143,45.146890617248445,1.0372651020637564,82.61087290156142,25.045455288444277,5.145828042328042,33.57599999831109,1.985584114151608e-08,1.9501609239701496,83.46646128840516,44.55397761680064,-19.77191150892113,0.3869999999999436,0.2
7,7,82,82.68401592592593,-0.9810354500001496,0.006260557099068,-0.8859549557989466,82.68398808336607,0.0036837194267037,2.0,7.681404761904762,36.62733454032913,0.0361435425500583,82.68255911733485,25.727769827381227,5.078866666666666,20.924000000650267,6.4412324076272745e-09,1.160098533598223,77.8600580989204,,0.8551789292797057,0.5270000000000437,0.2
0,0,83,83.43569760416666,-0.3881563999999571,0.0078473516230441,-0.4132620161309306,83.43569229282791,0.0077574912735707,2.0,10.455761904761903,66.94508335950316,-1.4454261897066558,83.4361064810016,49.0210846802269,7.051207142857143,2.9199999997217674,1.1025121028010094e-08,1.500843046236022,7.252760758590986,14.61226810856844,-0.7706623386698309,1.17999999999995,0.2
1,1,83,83.45230094907407,-0.8812733500001286,0.0030357581336175,-0.8783844182727713,83.45230039952662,0.0030335361089307,2.0,7.766119047619046,44.62258819526051,-490.8163880976137,83.47359647461829,0.0201699402144501,5.1828997493734335,7.786000000533022,2.219110996923997e-08,1.4736851474275603,15.097267436813292,26.772000608003896,-2.002273505113282,0.5059999999999718,0.2
2,2,83,83.47041371527777,-0.3726355500000409,0.0103580427685355,-0.2788542779027512,83.47034890222403,0.0081950735116284,2.0,7.255619047619048,46.16545977042941,22135834.392014094,-1988.636181977296,0.2430694691379145,4.813304761904762,35.52300000055766,4.6113365667721594e-09,2.299536600999988,91.24877921556522,,2.6765685567399427,0.1100000000000136,0.2
3,3,83,83.49370241898148,-1.0811082999999826,0.0071885997585553,-0.9995412118066208,83.49370572484354,0.0068612060798547,2.0,7.671333333333335,33.521418754018505,-1.357860194909607,83.49400202302233,24.307304729125725,4.939545238095239,9.24599999793827,3.318710941626835e-08,2.0425440782029027,15.47519314073055,33.58447633747159,-1.9992806007901984,0.1420000000000527,0.2
4,4,83,83.5382466087963,-1.5388556499999595,0.0087121132134808,-1.4295968433397737,83.53825204223295,0.0076470324954444,2.0,5.894095238095239,30.888849531226093,-1.881569947861444,83.538535047624,11.868825194982788,3.9591645021645023,5.840000000671353,2.8368427384791984e-08,0.5161137190752798,10.10981107374834,11.214793777666491,-6.541059318517998,0.8870000000000573,0.2
5,5,83,83.5494600925926,-1.2058156000000508,0.0057651229986949,-1.1550814625699388,83.54945490279015,0.0054423133942914,2.0,6.675666666666666,33.69615310165408,1.8768344106889352,83.54855020292344,17.848457102982344,4.774267857142857,11.192000000255575,1.5684385686723138e-08,1.6708809870195196,27.81419593620892,,14.382826144279331,0.5600000000000591,0.2
0,0,89,89.44757092592593,-0.3671968999999535,0.0042149650613481,-0.3703757466184217,89.44756336744865,0.0041320101194781,2.0,7.456142857142856,,7.456142857142856,89.44757092592593,,5.274878571428571,4.865999999583437,7.1842091131691435e-09,1.347286411077188,10.894064098797571,13.568384618335015,-1.3140498970252668,0.5819999999999936,0.2
1,1,89,89.54793461805555,-0.585614699999951,0.0021922658392973,-0.5554754161286305,89.54793935358609,0.002109135758461,2.0,7.009047619047619,18.64152054683975,6.512968112091128,89.5479091861081,16.44894104523389,4.523666666666667,12.164999998958592,4.442935547454104e-09,1.2447114816647469,37.50757807442003,,0.6823750041159731,0.4950000000000045,0.2
2,2,89,89.57170207175928,-0.4865159500001255,0.012002281903812,-0.3939602199075092,89.5717900146042,0.0084008497067268,2.0,7.30052380952381,46.5054590959078,-108.09519170091605,89.5819094970607,0.0096333479560764,4.744963585434173,43.79499999986365,9.501593422908862e-09,-3.1063263141931223,88.27811865739015,109.595144958044,-1.7491589677909891,0.7839999999999918,0.2
