SCLK,             SCET_UTC,                 ERT_UTC,LTST,  E-0114,  E-0126,  E-0606,  E-0607,  E-0608,  E-0609,  E-0610,  E-0611,  E-0623,  E-0624,  E-0625,  E-0646,  E-0647,  E-0648,  E-0649,  E-0650,  E-0651,  E-0663,  E-0664,  E-0665,  E-0686,  E-0687,  E-0688,  E-0689,  E-0690,  E-0691,  E-0703,  E-0704,  E-0705,  E-0726,  E-0727,  E-0728,  E-0729,  E-0730,  E-0731,  E-0743,  E-0744,  E-0745,  E-0769,  E-0770,  E-0771,  E-0772,  E-0789,  E-0790,  E-0791,  E-0792,  G-0036,  G-1715,  T-0003,  T-0004,  T-0007,  T-0009,  T-0010,  T-0014,  T-0015,  T-0018,  T-0019,  T-0021,  T-0022,  T-0027,  T-0036,  T-0037,  T-0039,  T-0042,  T-0045,  T-0046,  T-0048,  T-0049,  T-0052,  T-0202,  T-0216,  T-0229,  T-0230,  V-3518,  V-3531,  V-3644,  V-3645,  V-3646
625776589.238,2019-304T06:50:58.832,   2019-304T15:11:02.977,00:12:58,30.526,30.516,-0.011,-0.011,0.002,-0.01,-0.024,-0.003,0.319,0.002,-0.005,0.004,-0.02,-0.023,-0.002,-0.017,-0.021,0.292,0.003,-0.02,-0.002,-0.015,0.012,0.014,0.021,-0.005,0.502,0.024,0.002,0.021,-0.017,0.008,0.003,0.016,0.0,0.421,-0.005,0.009,31.13,-1.392,0.001,0.049,31.13,-1.412,0.001,0.039,0.089,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.0
625776589.24,2019-304T06:50:58.840,   2019-304T15:11:12.505,00:12:58,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,-98.207,-97.018,-3.107,-39.377,-2.236,-1.801,-83.837,-96.423,-96.423,-82.346,-85.928,-1.801,9999.9,9999.9,-88.854,9999.9,-88.852,9999.9,-81.939,-87.635,-7.442,-4.847,-3.542,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.0
625776589.242,2019-304T06:50:58.848,   2019-304T15:11:24.878,00:12:58,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,1.0,0.0,9999.9,9999.9,0.0
625776589.246,2019-304T06:50:58.863,   2019-304T15:05:22.859,00:12:58,30.526,30.516,9999.9,9999.9,0.002,9999.9,-0.024,9999.9,0.319,0.002,9999.9,9999.9,9999.9,9999.9,-0.002,9999.9,9999.9,0.292,9999.9,9999.9,-0.002,-0.015,9999.9,9999.9,9999.9,-0.005,0.502,0.024,0.002,9999.9,-0.017,9999.9,9999.9,9999.9,9999.9,0.421,9999.9,9999.9,31.13,-1.392,0.001,0.049,31.13,-1.412,0.001,0.039,0.089,9999.9,-98.207,-97.018,-3.107,9999.9,-2.236,-1.801,-83.837,-96.423,-96.423,9999.9,9999.9,-1.801,9999.9,9999.9,9999.9,9999.9,9999.9,0.378,9999.9,9999.9,-7.442,-4.847,-3.542,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.0
625776619.247,2019-304T06:51:28.867,   2019-304T15:05:23.168,00:13:27,30.516,30.507,9999.9,9999.9,0.002,9999.9,-0.024,9999.9,0.319,0.002,9999.9,9999.9,9999.9,9999.9,-0.002,9999.9,9999.9,0.292,9999.9,9999.9,-0.002,-0.015,9999.9,9999.9,9999.9,-0.005,0.502,0.024,0.002,9999.9,-0.017,9999.9,9999.9,9999.9,9999.9,0.421,9999.9,9999.9,31.13,-1.392,0.001,0.059,31.13,-1.412,0.001,0.039,0.099,9999.9,-98.207,-97.018,-2.671,9999.9,-1.801,-1.365,-83.837,-96.423,-96.423,9999.9,9999.9,-1.801,9999.9,9999.9,9999.9,9999.9,9999.9,0.378,9999.9,9999.9,-7.442,-4.847,-3.542,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.0
625776649.252,2019-304T06:51:58.887,   2019-304T15:05:23.339,00:13:56,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.001,9999.9,9999.9,9999.9,0.001,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.0
625776679.25,2019-304T06:52:28.879,   2019-304T15:05:23.354,00:14:26,30.516,30.507,9999.9,9999.9,0.002,9999.9,-0.024,9999.9,0.319,0.004,9999.9,9999.9,9999.9,9999.9,-0.002,9999.9,9999.9,0.296,9999.9,9999.9,-0.002,-0.015,9999.9,9999.9,9999.9,-0.005,0.502,0.024,0.002,9999.9,-0.017,9999.9,9999.9,9999.9,9999.9,0.421,9999.9,9999.9,31.121,-1.383,0.001,0.049,31.121,-1.412,0.001,0.049,0.099,9999.9,-98.207,-97.018,-3.107,9999.9,-2.236,-1.365,-83.837,-96.423,-96.423,9999.9,9999.9,-1.801,9999.9,9999.9,9999.9,9999.9,9999.9,0.378,9999.9,9999.9,-7.442,-4.847,-3.542,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.0
625776709.11,2019-304T06:52:58.332,   2019-304T15:04:56.436,00:14:55,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.502,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,-2.236,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,-67.443,-65.331,9999.9,-79.903,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,-72.924,-74.607,9999.9,9999.9,9999.9,9999.9,0.0
625776709.247,2019-304T06:52:58.868,   2019-304T15:05:23.524,00:14:55,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.001,9999.9,9999.9,9999.9,0.001,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.0
625776710.187,2019-304T06:52:59.633,   2019-304T15:05:04.068,00:14:56,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,0.502,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,9999.9,-3.107,-39.805,9999.9,9999.9,9999.9,9999.9,9999.9,-82.346,9999.9,9999.9,-67.443,-65.331,9999.9,-79.903,9999.9,9999.9,-82.346,9999.9,9999.9,9999.9,9999.9,-72.924,-74.607,9999.9,9999.9,9999.9,9999.9,0.0
