Var1,Unnamed_0,Sol,peak_centre,delta_P_obs,p_lor_fit,p_lsr_delta_P,p_lsr_peak_time,p_lsr_fit,pres_rate,delta_V,v_lor_fit,v_lsr_delta_V,v_lsr_peak_time,v_lsr_fit,backg_V,time_FWHM,theta_obs,azimuth,miss_distance,D,delta_P,peak_Bz,mag_rate
0,0,75,75.4582349537037,-2.25921734999986,NaN,-1.91161025896349,75.4582915662924,0.0275920943229778,2,NaN,NaN,NaN,NaN,NaN,5.25577192982456,23.189033372818,2.57809342852185e-08,1.87279593343498,63.2811229434827,NaN,42.1755722044604,2.33500000000004,0.2
1,1,75,75.46421875,-0.412615000000073,NaN,-0.432293717352878,75.4642066653937,0.0087130078176061,2,NaN,NaN,NaN,NaN,NaN,2.62692280701754,19.5162505574159,5.3495081624399e-09,3.0282093889048,27.7895107664282,NaN,3.10463664660035,1.21300000000008,0.2
2,2,75,75.5732696759259,-0.907556949999957,NaN,-0.897035163385431,75.5732802797022,0.0037376832749932,2,NaN,NaN,NaN,NaN,NaN,4.52946929824561,13.4129068686588,2.00985360536367e-08,2.94167929343696,24.4735753826705,37.5745248995616,-2.41925474514414,2.399,0.2
0,0,79,79.4063194444444,-0.488627500000007,NaN,-0.484277999220936,79.4062928831586,0.0039733569172727,2,NaN,NaN,NaN,NaN,NaN,4.57818421052632,13.6795433248135,4.86561023796357e-09,1.65417465734772,37.6745647872947,NaN,1.20119692996283,0.545999999999935,0.2
1,1,79,79.4715219907407,-0.775324849999947,NaN,-0.457373836545629,79.4715484058469,0.0051396325774788,2,NaN,NaN,NaN,NaN,NaN,3.58185855263158,28.0289593005361,7.82363956318536e-09,-0.238141086297489,46.2861775076893,42.759222623922,-2.60112483745926,8.75900000000001,0.2
2,2,79,79.5007928240741,-0.799118950000093,NaN,-0.80721447972309,79.5007701625131,0.0031816375910745,2,NaN,NaN,NaN,NaN,NaN,4.42313157894737,10.6350066773535,1.78220147378206e-08,2.62796356063318,19.0892281526841,28.7251143917887,-2.23315739089855,1.851,0.2
3,3,79,79.5152546296296,-1.21232149999992,NaN,-1.1356035010081,79.5152567656701,0.0014245115001978,2,NaN,NaN,NaN,NaN,NaN,6.96963947368421,1.57855425352357,3.51498409515082e-08,2.45900566879908,3.77073642077588,8.24598377030554,-2.08545150444075,3.54300000000001,0.2
4,4,79,79.5458854166667,-0.441881800000033,NaN,-0.376446331841728,79.545892570443,0.0025222200351345,2,NaN,NaN,NaN,NaN,NaN,4.59097697368421,3.92557529234012,7.38638203261542e-09,0.912981745459468,7.75798165039773,9.71209893119302,-1.33724935696886,1.26100000000008,0.2
5,5,79,79.5540046296296,-0.959061049999946,NaN,-0.871254216085197,79.5539997964396,0.0020985402357305,2,NaN,NaN,NaN,NaN,NaN,4.63836184210526,3.9718672654603,1.67551482974886e-08,1.03975985737397,8.01054990395806,9.66751528442084,-3.26401790748357,2.25,0.2
6,6,79,79.5840046296296,-0.37870114999987,NaN,-0.351470720156141,79.5840822407328,0.003173891960985,2,NaN,NaN,NaN,NaN,NaN,4.78380994152047,60.4487421164493,1.90758766688213e-09,1.40140443338731,236.683606298658,NaN,0.220013176601512,1.70600000000002,0.2
7,7,79,79.6154166666667,-0.817750799999999,NaN,-0.696940859852639,79.6154029889377,0.0018655019352614,2,NaN,NaN,NaN,NaN,NaN,5.62571929824561,18.8858829544714,1.18545432255753e-08,1.57235377437295,49.1219471940837,44.6475333051883,-4.07146179005324,0.750999999999976,0.2
0,0,80,80.4113773148148,-0.619401349999976,NaN,-0.58099209242191,80.4113781573422,0.0043924946594454,2,NaN,NaN,NaN,NaN,NaN,4.20173947368421,2.28375069622685,4.08857462150402e-09,1.19003293697574,6.89733992673307,NaN,0.579073237704664,1.46800000000007,0.2
1,1,80,80.4138599537037,-0.376964699999917,NaN,-0.350000205210045,80.4138822534434,0.0016743916764756,2,NaN,NaN,NaN,NaN,NaN,5.11656052631579,12.2522153404968,3.57067137865986e-09,0.742565606378093,37.4245524723437,NaN,0.916528393236729,1.31499999999994,0.2
2,2,80,80.5122569444444,-0.548392050000075,NaN,-0.564076543882313,80.5122527802526,0.0133010231080628,2,NaN,NaN,NaN,NaN,NaN,4.70803859649123,1.26375207233928,1.10138170015188e-08,1.52131649859549,2.56747756743118,3.1861477097861,-2.02921792945215,2.91700000000003,0.2
3,3,80,80.516400462963,-0.351449850000108,NaN,-0.350001779869291,80.5164404174448,0.0038802448228586,2,NaN,NaN,NaN,NaN,NaN,5.61145526315789,18.9408322277845,4.63552833132064e-09,3.00010443526635,55.6883998341831,NaN,5.43133599927791,1.44999999999993,0.2
4,4,80,80.5623495370371,-0.393160749999993,NaN,-0.350002422481343,80.5623477957833,0.0018233243305609,2,NaN,NaN,NaN,NaN,NaN,6.06538504155125,2.23619538145697,3.30231404106218e-09,1.58765360992093,8.41974874471722,NaN,0.708246787255371,2.48500000000001,0.2
5,5,80,80.5798032407407,-0.366747499999974,NaN,-0.350000095856687,80.5798307176315,0.0085062031081097,2,NaN,NaN,NaN,NaN,NaN,4.77257894736842,52.1279725802063,4.72907936730404e-09,1.53671815240402,129.054872425458,NaN,8.06836450245755,3.94399999999996,0.2
