,Unnamed: 0,Sol,peak_centre,delta_P_obs,p_lor_fit,p_lsr_delta_P,p_lsr_peak_time,p_lsr_fit,pres_rate,delta_V,v_lor_fit,v_lsr_delta_V,v_lsr_peak_time,v_lsr_fit,backg_V,time_FWHM,theta_obs,azimuth,miss_distance,D,delta_P,peak_Bz,mag_rate
0,0,75,75.45823495370371,-2.259217349999858,,-1.9458189961240289,75.45829108683255,0.0271690394601853,2.0,,,,,,,21.85065353198702,,,,,,,
1,1,75,75.46421875,-0.4126150000000734,,-0.4449449419845744,75.46420635258515,0.0086310891997022,2.0,,,,,,,17.44222499149507,,,,,,,
2,2,75,75.57326967592593,-0.9075569499999574,,-0.905162799781644,75.57328027593087,0.0037240772432774,2.0,,,,,,,13.019325534474534,,,,,,,
0,0,76,76.47672453703703,-0.3508464500000627,,-0.2552972426619259,76.47670303195775,0.000915398046764,2.0,,,,,,,7.867026619950814,,,,,,,
1,1,76,76.53860532407407,-0.7569148000000041,,-0.7226852841479563,76.5385829179786,0.0043735583320966,2.0,,,,,,,21.79091380532827,,,,,,,
2,2,76,76.5427662037037,-0.689655450000032,,-0.7189836149423845,76.54276054427365,0.0006294657780333,2.0,,,,,,,2.2966551811394584,,,,,,,
3,3,76,76.58923032407408,-2.5840458000000126,,-2.551909714548451,76.58922976471084,0.0189391664317942,2.0,,,,,,,13.453867402560691,,,,,,,
4,4,76,76.59317708333333,-1.4638641000000234,,-1.4891132495220696,76.59317737079962,0.0029545536549651,2.0,,,,,,,2.203071690766253,,,,,,,
0,0,77,77.38742476851851,-0.3627529499999582,,-0.1422722438370771,77.38730853744997,0.0013738634303057,2.0,,,,,,,73.93708120045198,,,,,,,
1,1,77,77.41233796296297,-0.5770046499999353,,-0.5262952633329496,77.41233715245274,0.0032984813243047,2.0,,,,,,,11.509051920049991,,,,,,,
2,2,77,77.45699074074074,-1.002773349999984,,-0.9286797406688336,77.45698124392922,0.0041303255316195,2.0,,,,,,,4.240730847407804,,,,,,,
3,3,77,77.47320601851851,-0.677715350000085,,-0.4650476664295834,77.47316988995614,0.0039551324287779,2.0,,,,,,,18.842058367577625,,,,,,,
4,4,77,77.5616550925926,-0.3689350500000046,,-0.2283330440847528,77.56165042343132,0.0014900321426972,2.0,,,,,,,21.498324599164665,,,,,,,
5,5,77,77.57498842592592,-0.6181172000001425,,-0.5363797106500515,77.57496602582289,0.0082864941437575,2.0,,,,,,,50.79272680014917,,,,,,,
0,0,78,78.39208912037037,-0.6787264499999992,,-0.5795904563576271,78.39210898654954,0.002946302959457,2.0,,,,,,,8.847969509633725,,,,,,,
1,1,78,78.5144675925926,-0.4330167999999048,,-0.4204897272929561,78.51447399779198,0.0096533015854536,2.0,,,,,,,9.536287407120064,,,,,,,
2,2,78,78.57908564814815,-1.7034415999999055,,-1.8501431814737663,78.57908512746758,0.0359173571571619,2.0,,,,,,,1.1684760375294316,,,,,,,
3,3,78,78.61605902777777,-1.3677019000000428,,-1.4548029530470823,78.61605420012647,0.0053815999103428,2.0,,,,,,,4.53952809500388,,,,,,,
0,0,79,79.40631944444445,-0.4886275000000069,,-0.4817013425903566,79.40629236444452,0.0039719053189479,2.0,,,,,,,13.921158315823975,,,,,,,
1,1,79,79.47152199074074,-0.7753248499999472,,-0.4775103386529083,79.47154218139858,0.0050113742378289,2.0,,,,,,,24.524618155085207,,,,,,,
2,2,79,79.50079282407408,-0.7991189500000928,,-0.8083371436170929,79.50077003577934,0.0031814490411057,2.0,,,,,,,10.591678562928458,,,,,,,
3,3,79,79.51525462962962,-1.2123214999999163,,-1.1351577306391052,79.51525676393534,0.0014245085887621,2.0,,,,,,,1.5806739123699578,,,,,,,
4,4,79,79.54588541666666,-0.4418818000000328,,-0.3746269418439354,79.5458926163811,0.0025221336834465,2.0,,,,,,,3.9771021142058194,,,,,,,
5,5,79,79.55400462962963,-0.9590610499999456,,-0.87218886088763,79.55399982115503,0.0020985320819559,2.0,,,,,,,3.9591303915730784,,,,,,,
6,6,79,79.58400462962962,-0.3787011499998698,,-0.3655260113113441,79.5840616342688,0.0027483319570614,2.0,,,,,,,50.86155931709934,,,,,,,
7,7,79,79.61541666666666,-0.8177507999999989,,-0.6923281974482184,79.61540247617486,0.0018618694735401,2.0,,,,,,,19.253454807324665,,,,,,,
0,0,80,80.41137731481481,-0.6194013499999755,,-0.5760226909186914,80.411378147447,0.0043923327825702,2.0,,,,,,,2.3313356384493886,,,,,,,
1,1,80,80.4138599537037,-0.3769646999999168,,-0.2676154140025458,80.41387449908107,0.0015539218623526,2.0,,,,,,,18.0963650499278,,,,,,,
2,2,80,80.51225694444445,-0.548392050000075,,-0.5668584636126882,80.51225280008917,0.0133009388818348,2.0,,,,,,,1.2469173503412274,,,,,,,
3,3,80,80.51640046296296,-0.3514498500001082,,-0.2259902117188262,80.51642201547354,0.0031296044843723,2.0,,,,,,,31.249183986909816,,,,,,,
4,4,80,80.56234953703705,-0.3931607499999927,,-0.2731349438409702,80.56234654295027,0.0018125713754853,2.0,,,,,,,3.3920636612822395,,,,,,,
